id,givid,rvf_elisa_pn,lepto_elisa_pn,bruc_elisa_pn,qfev_elisa_pn,BVDV_elisa_pn,toxo_elisa_pn,neospora_elisa_pn,district_name,sample_month,animalsex,herdsize_fct,PC1,PC2,PC3,PC4,PC5
1578TZN000404025321,1543,0,1,0,0,0,0,0,23,12,1,4,0.0260352,-0.0211876,-0.00484926,2.99642e-4,-0.00476542
1579TZN000404025355,1544,0,1,0,0,0,0,0,23,12,1,4,-0.00607337,0.0259709,-0.0417967,-0.0102694,-0.00166714
1580TZN000404025339,1545,0,1,0,0,0,0,0,23,12,1,4,0.0184516,-0.0293553,-0.0121179,-0.0052357,-0.00877724
1581TZN000365699505,1546,0,0,0,1,1,1,0,23,1,1,3,0.0260191,-0.0192102,-0.00714784,-4.64747e-4,-0.00997755
1582TZN000404025332,1547,0,1,0,0,0,0,1,23,12,1,4,-0.00589632,0.0213741,-0.0387554,-0.0165331,0.0112741
1583TZN000404024878,1548,0,0,0,0,1,0,0,23,1,1,3,0.010276,-0.0265767,-0.00764433,-0.00774049,0.00468189
1584TZN000404024887,1549,0,0,0,0,0,0,0,23,1,2,3,0.00863214,-0.00453287,0.0108466,-0.0191643,0.0107799
1585TZN000404024382,1550,1,0,0,1,0,0,0,23,12,1,1,0.06012,-0.00592025,-0.0105469,0.0045994,-0.0111143
1586TZN000404024383,1551,0,0,0,0,0,0,1,23,12,1,1,0.0161761,-0.0150438,2.95176e-4,-0.0119968,0.00638376
1587TZN000404024369,1552,0,0,0,0,0,1,0,23,12,1,1,0.0113186,-0.0238569,0.00260235,0.00284716,-4.22399e-4
1588TZN000365699478,1553,0,0,0,0,0,0,0,23,12,1,2,0.0080884,0.0135404,-0.00426226,-0.00943859,3.1325e-4
1589TZN000365699466,1554,0,0,0,0,0,0,0,23,12,1,1,-0.0113478,-0.0337575,-0.00412035,0.00717431,0.00981806
1590TZN000365699431,1555,0,0,0,0,1,0,0,23,12,1,2,5.32815e-4,-0.0555837,-0.024022,9.08465e-4,-3.25984e-4
1591TZN000365699469,1556,0,0,0,0,0,0,1,23,12,1,1,0.00284973,0.0398329,-0.0855146,-0.00165281,0.00725672
1592TZN000365699479,1557,1,1,0,1,0,0,0,23,12,1,2,0.00553561,-0.0083812,-0.00174027,-0.00327706,-0.00557729
1593TZN000365699396,1558,1,0,0,0,0,0,1,23,12,1,1,0.00647886,-0.0189935,0.00330086,0.00657187,-0.00161945
1594TZN000365699399,1559,1,0,0,0,0,0,0,23,12,1,1,0.00955397,-0.0108557,-0.00669909,0.00434063,-0.00135124
1595TZN000404024487,1560,0,0,0,0,0,0,1,23,12,1,2,0.00254509,-0.00634397,5.1981e-4,-0.00361694,-0.00444537
1596TZN000404024514,1561,0,0,0,0,0,0,1,23,12,1,1,0.0326836,-0.0158753,-0.0113048,0.00348561,-0.00375912
1597TZN000404024512,1562,0,0,0,1,0,0,0,23,12,1,1,0.00560646,-0.0216435,-0.00956075,-0.0106233,0.00525664
1598TZN000365699599,1563,0,0,0,0,1,0,0,23,12,1,1,-0.0271162,-0.0546409,-0.00873407,-0.0115557,0.00876033
1599TZN000365699232,1564,1,0,0,0,1,0,0,23,12,1,1,-0.0177921,-0.0400738,0.0191702,-0.0684709,-0.128004
1600TZN000365699229,1565,0,0,0,0,0,0,0,23,12,1,1,-0.0193397,-0.0570086,-0.0273481,0.00590569,0.00248971
1601TZN000365699608,1566,0,0,0,0,1,1,1,23,12,1,1,-0.013169,-0.0267599,0.0141675,0.0434677,-0.00679981
1602TZN000365699610,1567,1,0,0,1,1,0,0,23,12,1,1,-0.0170336,0.0241753,0.0280429,0.0354885,-0.00207723
1603TZN000365699228,1568,0,0,0,0,1,0,0,23,12,1,1,-0.0166889,-0.0557303,-0.0194789,7.64823e-4,-0.00182026
1604TZN000365699609,1569,1,0,0,0,1,1,0,23,12,1,1,-0.0138961,-0.0281457,0.0155473,0.044845,-0.00824251
1605TZN000365699600,1570,0,0,0,0,1,0,0,23,12,1,1,-0.0305249,-0.0239258,-0.00177488,-0.0159733,0.00540325
1606TZN000404024992,1571,0,1,0,0,0,0,0,23,2,1,4,-0.00148766,-0.0457905,-0.017438,0.0181441,-0.00180429
1607TZN000365699598,1572,0,0,0,0,0,0,0,23,12,1,1,-0.028484,-0.0504332,-0.00637971,-0.00823888,0.00656508
1608TZN000365699605,1573,0,0,0,0,1,0,0,23,12,1,1,-0.018305600000000002,-0.0541306,-0.0141537,-0.00239128,-0.00229776
1609TZN000365699710,1574,0,0,0,0,0,0,0,23,12,1,1,-0.016133,-0.0592041,-0.0251625,0.00979833,4.6824e-6
1610TZN000365699713,1575,0,0,0,0,0,0,0,23,12,1,1,8.6159e-4,-0.054425,-0.0401962,0.0446794,0.0160377
1611TZN000404024970,1576,0,0,0,0,1,0,1,23,2,1,4,0.00724418,-0.0403674,-0.00401234,0.01939629999999999,-0.00222913
1612TZN000404024971,1577,0,1,0,0,1,0,0,23,2,1,4,-0.00715749,-0.0531454,-0.0174234,2.59264e-4,-0.0055096
